epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0516,1.42822,2.02635,1.79334,1,0.11849,0.42348,0.24613,1.48069,2.64504,1.67978,0.00038,0.00038,0.00038
2,42.0171,1.4395,1.94049,1.78693,0.71812,0.33155,0.39131,0.19123,1.71658,2.38325,1.98919,0.00070278,0.00070278,0.00070278
3,48.7613,1.41123,1.83022,1.76471,0.59381,0.39051,0.39099,0.18751,1.78725,2.1797,2.01992,0.00094636,0.00094636,0.00094636
4,58.4914,1.44706,1.70795,1.76428,0.62157,0.41781,0.47013,0.23389,1.70438,1.92475,1.829,0.00111074,0.00111074,0.00111074
5,65.9533,1.48239,1.74925,1.80639,0.55706,0.40411,0.44646,0.2108,1.87542,1.87819,1.90874,0.00119592,0.00119592,0.00119592
6,73.4555,1.42029,1.65985,1.74943,0.69246,0.52435,0.57848,0.30589,1.6823,1.66105,1.74171,0.00101,0.00101,0.00101
7,82.8633,1.35617,1.54804,1.70595,0.6951,0.42161,0.5332,0.24528,1.86622,1.83572,1.8854,0.000812,0.000812,0.000812
8,89.4752,1.30912,1.46959,1.66268,0.64634,0.61644,0.59898,0.26012,1.70605,1.49022,1.81282,0.000614,0.000614,0.000614
9,99.781,1.24569,1.35406,1.63532,0.85114,0.46575,0.6011,0.30897,1.69765,1.47532,1.77789,0.000416,0.000416,0.000416
10,106.988,1.22034,1.3194,1.57067,0.77953,0.65753,0.74343,0.38261,1.50898,1.2323,1.60372,0.000218,0.000218,0.000218
